Millis,Front,Left,Right,EncL,EncR
404702,487,2552,3149,97776,98600
404757,468,2508,3196,97779,98600
404813,471,2536,3233,97779,98600
404868,538,2496,3186,97778,98600
404923,555,2597,3103,97778,98604
404979,563,2616,3116,97778,98607
405034,564,2592,3098,97795,98631
405090,582,2620,3100,97871,98701
405145,635,2682,3268,97994,98812
405201,691,1556,3306,98175,98997
405256,845,732,3358,98395,99264
405311,1004,689,3329,98625,99548
405367,1308,667,3214,98837,99822
405422,1639,697,3023,99018,100040
405478,2088,718,2764,99127,100176
405533,2381,743,2712,99195,100232
405588,2545,672,2690,99225,100242
405644,2599,676,2730,99227,100242
405699,2588,679,2724,99226,100242
405755,2549,673,2712,99217,100242
405810,2539,666,2724,99217,100242
405866,2529,670,2720,99217,100242
405921,2557,701,2703,99217,100242
405976,2528,672,2700,99217,100242
406032,2521,672,2710,99217,100242
406087,2548,676,2716,99217,100242
406143,2555,671,2699,99217,100242
406198,2525,665,2714,99217,100242
406253,2545,672,2713,99217,100242
406309,2550,668,2697,99217,100242
406364,2577,693,2684,99217,100242
406420,2594,670,2713,99219,100242
406475,2503,693,2652,99202,100257
406530,2418,856,2594,99179,100283
406586,2224,1017,2455,99137,100318
406641,2062,641,2333,99106,100351
406697,1736,1137,2216,99046,100386
406752,1399,993,1924,98985,100437
406808,1139,890,2699,98969,100484
406863,1073,865,2735,98967,100509
406918,1079,867,2762,98967,100510
406974,1089,884,2777,98967,100510
407029,1078,858,2753,98967,100510
407085,1003,861,2780,98957,100528
407140,885,1039,2833,98931,100552
407195,688,1146,2841,98897,100591
407251,585,1188,2818,98872,100636
407306,269,2552,2762,98851,100694
407362,560,2249,2669,98835,100768
407417,363,2097,2639,98835,100813
407473,343,2193,2630,98835,100818
407528,367,2217,2624,98835,100818
407583,344,2219,2623,98835,100818
407639,344,2197,2627,98835,100818
407694,343,2224,2618,98835,100818
407750,344,2224,2622,98835,100818
407805,345,2228,2628,98835,100818
407860,359,2244,2630,98850,100820
407916,345,2238,2617,98890,100866
407971,340,2615,2697,98959,100976
408027,389,1406,2761,99041,101166
408082,389,816,2861,99133,101448
408138,441,1165,2964,99233,101803
408193,436,1332,2941,99348,102192
408248,515,1337,2994,99477,102598
408304,641,1242,1917,99613,102989
408359,836,2717,551,99783,103344
408415,1052,2792,678,100013,103627
408470,1306,2896,678,100225,103836
408525,1712,2935,698,100377,103984
408581,2057,2980,699,100483,104097
408636,2392,3028,729,100543,104146
408692,2507,3047,769,100551,104158
408747,2534,3011,772,100553,104158
408803,2521,3049,753,100553,104160
408858,2526,3018,748,100553,104160
408913,2522,3040,742,100553,104160
408969,2528,3052,754,100553,104160
409024,2523,3023,775,100553,104160
409080,2525,3043,750,100553,104160
409135,2522,3047,751,100553,104160
409190,2534,3049,750,100553,104160
409246,2499,3036,749,100553,104160
409301,2547,3048,751,100565,104160
409357,2654,3023,745,100589,104159
409412,2849,2976,723,100601,104159
409468,3036,2964,726,100602,104159
409523,3036,2943,740,100602,104159
409578,2995,2939,730,100602,104159
409634,3015,2949,729,100613,104126
409689,2919,2789,651,100668,104065
409745,2619,2487,1232,100734,103970
409800,1945,2158,1039,100813,103871
409856,1688,2726,1546,100892,103817
409911,830,2819,1704,100929,103809
409966,784,2870,1794,100931,103810
410022,760,2894,1802,100931,103810
410077,797,2892,1794,100931,103810
410133,733,2894,1798,100931,103809
410188,489,2884,1835,100931,103769
410243,410,2848,1980,100951,103655
410299,441,2773,2238,100985,103595
410354,366,2689,1742,101029,103595
410410,293,2664,1442,101080,103595
410465,296,2634,900,101104,103595
410521,303,2601,606,101105,103595
410576,303,2595,589,101105,103595
410631,267,2591,600,101105,103595
410687,262,2590,602,101105,103595
410742,267,2570,602,101105,103595
410798,281,2602,596,101105,103595
410853,291,2597,602,101105,103595
410908,293,2597,604,101105,103595
410964,306,2602,602,101105,103595
411019,277,2586,600,101109,103595
411075,266,2567,775,101139,103588
411130,245,2549,965,101195,103588
411185,268,2546,1090,101309,103588
411241,271,2529,1127,101478,103588
411296,293,2570,1983,101718,103588
411352,343,1236,3024,102014,103591
411407,371,661,2958,102347,103592
411463,462,616,2865,102715,103599
411518,564,544,2852,103095,103599
411573,680,1893,2869,103454,103599
411629,917,1146,2926,103767,103599
411684,1148,1026,3084,104053,103624
411740,1474,840,3277,104274,103729
411795,1743,1105,3419,104388,103858
411851,1937,1423,3565,104419,103904
411906,1942,1378,3510,104420,103907
411961,1924,1404,3494,104420,103907
412017,1919,1309,3497,104414,103907
412072,1910,973,3416,104359,103907
412128,1838,922,3344,104323,103908
412183,1873,1022,3043,104323,103908
412238,1931,1005,2925,104323,103908
412294,1916,1010,2880,104323,103908
412349,1922,996,2917,104323,103908
412405,1896,989,2919,104323,103908
412460,1901,993,2913,104323,103908
412516,1922,995,2909,104323,103908
412571,1902,1016,2912,104323,103908
412626,1895,1019,2920,104323,103908
412682,1924,1021,2896,104323,103908
412737,1894,1010,2883,104323,103908
412793,1921,989,2891,104323,103913
412848,1925,997,2851,104323,103928
412903,1916,1003,2863,104323,103929
412959,1923,993,2843,104323,103929
413014,1928,975,2830,104323,103938
413070,1946,1054,2794,104325,103987
413125,1934,1019,2679,104325,104141
413181,1529,1165,2075,104325,104377
413236,955,1690,3043,104341,104658
413291,564,2081,3304,104385,104956
413347,667,1906,3008,104445,105196
413402,687,2292,2760,104535,105323
413458,733,2866,2695,104626,105420
413513,811,2914,2626,104745,105533
413569,934,2899,2589,104907,105691
413624,1072,2930,2578,105101,105888
413679,1428,2984,2581,105306,106078
413735,1791,3002,2586,105481,106230
413790,2246,3022,2523,105591,106312
413846,2500,2999,2671,105649,106325
413901,2594,2849,2719,105671,106325
413957,2647,2805,2774,105691,106325
414012,2766,2789,2802,105755,106322
414067,2670,2245,2934,105868,106284
414123,2098,2589,3149,105996,106223
414178,1963,3038,3031,106112,106167
414234,2366,3374,2777,106231,106111
414289,3144,3379,2055,106368,106032
414344,3631,3191,1051,106501,105917
414400,2730,2605,980,106596,105783
414455,1967,2890,944,106667,105665
414511,1081,3021,482,106741,105544
414566,633,2936,2242,106823,105422
414622,488,2753,2638,106881,105309
414677,486,2573,3221,106905,105188
414732,442,2205,3410,106907,105079
414788,451,2103,3541,106907,105035
414843,391,1978,3565,106907,105015
414899,375,1963,3562,106907,105013
414954,390,1962,3579,106907,105013
415010,366,1961,3562,106907,105013
415065,385,1965,3573,106907,105013
415120,391,1964,3555,106907,105013
415176,390,1965,3563,106907,105013
