time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
6423,1829,1844,1190,-7,0,0,0,0
6443,1707,1148,1179,-7,0,0,0,0
6463,1506,1142,1149,-7,0,0,0,0
6483,1402,496,1134,-7,0,0,0,0
6503,1326,494,1038,-6,0,0,0,0
6523,1230,492,1036,-6,0,0,0,0
6543,1080,491,1033,-6,0,0,0,0
6584,934,491,976,-12,0,0,0,0
6604,814,428,966,-5,0,0,0,0
6624,785,184,759,-5,0,0,0,0
6644,785,170,702,-6,0,0,0,0
6664,774,170,701,-5,0,0,0,0
6684,774,170,700,-5,0,0,0,0
6704,774,438,698,-4,0,0,0,0
6724,709,453,677,-5,0,0,0,0
6744,689,2154,677,-5,0,0,0,0
6785,660,2155,634,-11,0,0,0,0
6805,646,2284,634,-6,0,0,0,0
6825,644,2284,634,-4,0,0,0,0
6845,635,2284,634,-3,0,0,0,0
6865,635,2252,634,-3,0,0,0,0
6885,635,2245,941,-1,0,0,0,0
6905,632,2234,942,-1,0,0,0,0
6925,635,2223,1402,0,0,0,0,0
6945,635,2208,1407,0,0,0,0,0
6986,635,2208,1443,0,0,0,0,0
7006,635,2206,1449,0,0,0,0,0
7026,635,2206,1449,0,0,0,0,0
7046,635,2206,1448,0,0,0,0,0
7066,636,2201,1443,0,0,0,0,0
7086,636,2201,1431,0,0,0,0,0
7106,636,2204,1431,0,0,0,0,0
7126,635,2201,1430,0,0,0,0,0
7146,636,2201,1430,0,0,0,0,0
7187,637,2204,1438,0,0,0,0,0
7207,637,2210,1448,0,0,0,0,0
7227,637,2202,1448,-1,0,0,0,0
7247,645,2204,1452,-2,0,0,0,0
7267,645,2204,1452,-4,0,0,0,0
7287,646,2204,1452,-4,0,0,0,0
7307,661,2204,1452,-4,0,0,0,0
7327,661,2219,1452,-3,0,0,0,0
7347,661,2222,1445,-4,0,0,0,0
7388,663,2222,1445,-11,0,0,0,0
7408,682,2224,1445,-6,0,0,0,0
7428,683,2226,1452,-6,0,0,0,0
7448,708,2248,1452,-8,0,0,0,0
7468,712,2248,1452,-8,0,0,0,0
7488,731,2248,1447,-8,0,0,0,0
7508,734,2245,1285,-7,0,0,0,0
7528,762,2228,1272,-8,0,0,0,0
7548,788,2222,945,-8,0,0,0,0
7589,813,2208,939,-17,0,0,0,0
7609,837,2201,730,-8,0,0,0,0
7629,880,2201,535,-9,0,0,0,0
7649,883,2196,524,-9,0,0,0,0
7669,934,2196,508,-8,0,0,0,0
7689,954,2196,508,-9,0,0,0,0
7709,983,2176,508,-8,0,0,0,0
7729,1031,2191,576,-8,0,0,0,0
7749,1053,2196,578,-8,0,0,0,0
