Millis,Front,Left,Right,EncL,EncR,dEncL,dEncR,dMillis,vL,vR,vL_smooth,vR_smooth
8342,883,2005,1740,2072,3854,12.0,39.0,59.0,203.38983050847457,661.0169491525425,142.3728813559322,827.1186440677966
8401,866,2068,2021,2083,3900,11.0,46.0,59.0,186.4406779661017,779.6610169491526,199.0395480225989,807.0621468926554
8460,808,2177,2078,2099,3952,16.0,52.0,59.0,271.1864406779661,881.3559322033899,277.00564971751413,834.180790960452
8520,788,2218,2171,2116,4007,17.0,55.0,60.0,283.33333333333337,916.6666666666667,327.8531073446328,905.3672316384182
8579,810,2315,2258,2142,4062,26.0,55.0,59.0,440.67796610169495,932.2033898305085,378.7005649717514,962.9943502824859
8638,841,2368,2321,2169,4122,27.0,60.0,59.0,457.6271186440678,1016.949152542373,426.15819209039546,1017.2316384180791
8697,933,2401,2445,2195,4185,26.0,63.0,59.0,440.67796610169495,1067.7966101694915,484.7457627118644,1077.9661016949153
8756,933,2480,2485,2225,4253,30.0,68.0,59.0,508.4745762711865,1152.542372881356,538.9830508474577,1142.3728813559323
8815,733,2524,2582,2259,4325,34.0,72.0,59.0,576.271186440678,1220.3389830508474,589.8305084745763,1206.7796610169491
8874,493,2607,2637,2301,4399,42.0,74.0,59.0,711.8644067796611,1254.2372881355932,662.8889451049836,1264.8621300278269
8933,513,2616,2689,2343,4478,42.0,79.0,59.0,711.8644067796611,1338.9830508474577,721.1940298507462,1285.7822268801272
9000,660,2643,2738,2397,4569,54.0,91.0,67.0,805.9701492537313,1358.2089552238806,732.6064592292773,1271.7144302699576
9070,774,2649,2758,2453,4657,56.0,88.0,70.0,799.9999999999999,1257.142857142857,700.5784054595521,1241.5566278152528
9130,840,2678,2786,2491,4726,38.0,69.0,60.0,633.3333333333334,1150.0,670.0699308832808,1153.4210345949136
9188,834,2651,2805,2523,4790,32.0,64.0,58.0,551.7241379310344,1103.4482758620688,613.9606467952465,1047.8809384653919
9247,900,2722,2854,2556,4843,33.0,53.0,59.0,559.3220338983051,898.3050847457628,572.6047145918567,962.5540619520749
9306,958,2701,2822,2587,4892,31.0,49.0,59.0,525.4237288135594,830.5084745762713,559.7311513734658,901.5195791934542
9365,956,2710,2847,2622,4941,35.0,49.0,59.0,593.2203389830509,830.5084745762713,530.7422559906488,857.1011104617185
9423,1024,2725,2844,2655,4990,33.0,49.0,58.0,568.9655172413793,844.8275862068965,479.89479836353013,826.5926358854471
9482,1053,2749,2827,2679,5042,24.0,52.0,59.0,406.77966101694915,881.3559322033899,466.33547632963183,806.2536528345996
9541,1099,2754,2841,2697,5086,18.0,44.0,59.0,305.08474576271186,745.7627118644068,492.5189947399182,791.8760958503799
